skill,week_start,actual_count,forecast_count,model_name
java,2023-12-04,1419,1362.9211386323263,exp_smoothing
java,2023-12-11,1512,1352.5349039941875,exp_smoothing
java,2023-12-18,1272,1342.1486693560487,exp_smoothing
java,2023-12-25,1071,1331.76243471791,exp_smoothing
java,2023-10-09,1627,1534.3209933147646,arima
java,2023-10-16,1477,1490.6187055587984,arima
java,2023-10-23,1431,1533.7109246690823,arima
java,2023-10-30,1438,1491.2202578596493,arima
java,2023-11-06,1384,1533.1177698278686,arima
java,2023-11-13,1595,1491.805132466824,arima
java,2023-11-20,1689,1532.541059865563,arima
java,2023-11-27,1346,1492.3737917598462,arima
java,2023-12-04,1419,1531.9803388572982,arima
java,2023-12-11,1512,1492.9266852990315,arima
java,2023-12-18,1272,1531.435163518463,arima
java,2023-12-25,1071,1493.464250180893,arima
power bi,2023-10-09,1947,1850.0,naive
power bi,2023-10-16,1866,1850.0,naive
power bi,2023-10-23,1874,1850.0,naive
power bi,2023-10-30,1711,1850.0,naive
power bi,2023-11-06,1784,1850.0,naive
power bi,2023-11-13,1816,1850.0,naive
power bi,2023-11-20,1833,1850.0,naive
power bi,2023-11-27,1698,1850.0,naive
power bi,2023-12-04,1875,1850.0,naive
power bi,2023-12-11,1826,1850.0,naive
power bi,2023-12-18,1590,1850.0,naive
power bi,2023-12-25,1043,1850.0,naive
power bi,2023-10-09,1947,1892.0591029927268,exp_smoothing
power bi,2023-10-16,1866,1892.5114081673678,exp_smoothing
power bi,2023-10-23,1874,1892.9637133420085,exp_smoothing
power bi,2023-10-30,1711,1893.4160185166493,exp_smoothing
power bi,2023-11-06,1784,1893.8683236912902,exp_smoothing
power bi,2023-11-13,1816,1894.320628865931,exp_smoothing
power bi,2023-11-20,1833,1894.7729340405717,exp_smoothing
power bi,2023-11-27,1698,1895.2252392152127,exp_smoothing
power bi,2023-12-04,1875,1895.6775443898534,exp_smoothing
power bi,2023-12-11,1826,1896.1298495644942,exp_smoothing
power bi,2023-12-18,1590,1896.5821547391351,exp_smoothing
power bi,2023-12-25,1043,1897.034459913776,exp_smoothing
power bi,2023-10-09,1947,1850.1785166981742,arima
power bi,2023-10-16,1866,1850.0000404356733,arima
power bi,2023-10-23,1874,1850.1784762716597,arima
power bi,2023-10-30,1711,1850.000080853031,arima
power bi,2023-11-06,1784,1850.1784358634573,arima
power bi,2023-11-13,1816,1850.0001212520808,arima
power bi,2023-11-20,1833,1850.1783954735583,arima
power bi,2023-11-27,1698,1850.0001616328311,arima
power bi,2023-12-04,1875,1850.1783551019546,arima
power bi,2023-12-11,1826,1850.0002019952904,arima
power bi,2023-12-18,1590,1850.1783147486378,arima
power bi,2023-12-25,1043,1850.0002423394665,arima
python,2023-10-09,7242,6881.0,naive
python,2023-10-16,7125,6881.0,naive
python,2023-10-23,6657,6881.0,naive
python,2023-10-30,6644,6881.0,naive
python,2023-11-06,6656,6881.0,naive
python,2023-11-13,7057,6881.0,naive
python,2023-11-20,7599,6881.0,naive
python,2023-11-27,6496,6881.0,naive
python,2023-12-04,6967,6881.0,naive
python,2023-12-11,6824,6881.0,naive
python,2023-12-18,6183,6881.0,naive
python,2023-12-25,4224,6881.0,naive
python,2023-10-09,7242,6944.888872921053,exp_smoothing
python,2023-10-16,7125,6928.641696159181,exp_smoothing
python,2023-10-23,6657,6912.3945193973095,exp_smoothing
python,2023-10-30,6644,6896.147342635438,exp_smoothing
python,2023-11-06,6656,6879.900165873566,exp_smoothing
python,2023-11-13,7057,6863.652989111693,exp_smoothing
python,2023-11-20,7599,6847.405812349822,exp_smoothing
python,2023-11-27,6496,6831.15863558795,exp_smoothing
python,2023-12-04,6967,6814.911458826078,exp_smoothing
python,2023-12-11,6824,6798.664282064206,exp_smoothing
python,2023-12-18,6183,6782.417105302335,exp_smoothing
python,2023-12-25,4224,6766.169928540463,exp_smoothing
python,2023-10-09,7242,6860.431024712179,arima
python,2023-10-16,7125,6845.319299283883,arima
python,2023-10-23,6657,6834.216935543116,arima
python,2023-10-30,6644,6826.060191217846,arima
python,2023-11-06,6656,6820.067550412581,arima
python,2023-11-13,7057,6815.664844824559,arima
python,2023-11-20,7599,6812.430241396005,arima
python,2023-11-27,6496,6810.053825546515,arima
python,2023-12-04,6967,6808.307907564777,arima
python,2023-12-11,6824,6807.025207148682,arima
python,2023-12-18,6183,6806.082825905884,arima
python,2023-12-25,4224,6805.390472184289,arima
r,2023-10-09,2400,2253.0,naive
r,2023-10-16,2263,2253.0,naive
r,2023-10-23,2243,2253.0,naive
r,2023-10-30,2077,2253.0,naive
r,2023-11-06,2153,2253.0,naive
r,2023-11-13,2271,2253.0,naive
r,2023-11-20,2489,2253.0,naive
r,2023-11-27,1994,2253.0,naive
r,2023-12-04,2212,2253.0,naive
r,2023-12-11,2203,2253.0,naive
r,2023-12-18,1928,2253.0,naive
r,2023-12-25,1250,2253.0,naive
r,2023-10-09,2400,2304.9124558429926,exp_smoothing
r,2023-10-16,2263,2292.7853132804676,exp_smoothing
r,2023-10-23,2243,2280.6581707179425,exp_smoothing
r,2023-10-30,2077,2268.531028155417,exp_smoothing
r,2023-11-06,2153,2256.403885592892,exp_smoothing
r,2023-11-13,2271,2244.276743030367,exp_smoothing
r,2023-11-20,2489,2232.149600467842,exp_smoothing
r,2023-11-27,1994,2220.022457905317,exp_smoothing
r,2023-12-04,2212,2207.895315342792,exp_smoothing
r,2023-12-11,2203,2195.768172780267,exp_smoothing
r,2023-12-18,1928,2183.6410302177414,exp_smoothing
r,2023-12-25,1250,2171.5138876552164,exp_smoothing
r,2023-10-09,2400,2253.0480720984306,arima
r,2023-10-16,2263,2253.0000018489163,arima
r,2023-10-23,2243,2253.048070249585,arima
r,2023-10-30,2077,2253.0000036976903,arima
r,2023-11-06,2153,2253.048068400882,arima
r,2023-11-13,2271,2253.000005546322,arima
r,2023-11-20,2489,2253.048066552321,arima
r,2023-11-27,1994,2253.0000073948113,arima
r,2023-12-04,2212,2253.048064703902,arima
r,2023-12-11,2203,2253.0000092431587,arima
r,2023-12-18,1928,2253.0480628556256,arima
r,2023-12-25,1250,2253.000011091364,arima
spark,2023-10-09,2038,1988.0,naive
spark,2023-10-16,2017,1988.0,naive
spark,2023-10-23,1957,1988.0,naive
