week_start,skill,demand_count
2023-08-28,power bi,2359
2023-09-04,power bi,1879
2023-09-11,power bi,1555
2023-09-18,power bi,1679
2023-09-25,power bi,1883
2023-10-02,power bi,1850
2023-10-09,power bi,1947
2023-10-16,power bi,1866
2023-10-23,power bi,1874
2023-10-30,power bi,1711
2023-11-06,power bi,1784
2023-11-13,power bi,1816
2023-11-20,power bi,1833
2023-11-27,power bi,1698
2023-12-04,power bi,1875
2023-12-11,power bi,1826
2023-12-18,power bi,1590
2023-12-25,power bi,1043
2022-12-26,python,1719
2023-01-02,python,9952
2023-01-09,python,10285
2023-01-16,python,10061
2023-01-23,python,9943
2023-01-30,python,9035
2023-02-06,python,8286
2023-02-13,python,7740
2023-02-20,python,7543
2023-02-27,python,7664
2023-03-06,python,7429
2023-03-13,python,6859
2023-03-20,python,6648
2023-03-27,python,7042
2023-04-03,python,6455
2023-04-10,python,7122
2023-04-17,python,7232
2023-04-24,python,8156
2023-05-01,python,7567
2023-05-08,python,7358
2023-05-15,python,3823
2023-05-22,python,4963
2023-05-29,python,6560
2023-06-05,python,7192
2023-06-12,python,7215
2023-06-19,python,7479
2023-06-26,python,7507
2023-07-03,python,6949
2023-07-10,python,7105
2023-07-17,python,7455
2023-07-24,python,7204
2023-07-31,python,7283
2023-08-07,python,7154
2023-08-14,python,8040
2023-08-21,python,8942
2023-08-28,python,9572
2023-09-04,python,6849
2023-09-11,python,5644
2023-09-18,python,6074
2023-09-25,python,6834
2023-10-02,python,6881
2023-10-09,python,7242
2023-10-16,python,7125
2023-10-23,python,6657
2023-10-30,python,6644
2023-11-06,python,6656
2023-11-13,python,7057
2023-11-20,python,7599
2023-11-27,python,6496
2023-12-04,python,6967
2023-12-11,python,6824
2023-12-18,python,6183
2023-12-25,python,4224
2022-12-26,r,566
2023-01-02,r,3677
2023-01-09,r,3790
2023-01-16,r,3718
2023-01-23,r,3600
2023-01-30,r,3128
2023-02-06,r,2951
2023-02-13,r,2736
2023-02-20,r,2692
2023-02-27,r,2688
2023-03-06,r,2641
2023-03-13,r,2456
2023-03-20,r,2416
2023-03-27,r,2462
2023-04-03,r,2155
2023-04-10,r,2514
2023-04-17,r,2503
2023-04-24,r,2893
2023-05-01,r,2553
2023-05-08,r,2600
2023-05-15,r,1295
2023-05-22,r,1848
2023-05-29,r,2293
2023-06-05,r,2431
2023-06-12,r,2539
2023-06-19,r,2586
2023-06-26,r,2624
2023-07-03,r,2355
2023-07-10,r,2370
2023-07-17,r,2581
2023-07-24,r,2511
2023-07-31,r,2727
2023-08-07,r,2584
2023-08-14,r,2758
2023-08-21,r,3296
2023-08-28,r,3399
2023-09-04,r,2285
2023-09-11,r,1826
2023-09-18,r,1899
2023-09-25,r,2067
2023-10-02,r,2253
2023-10-09,r,2400
2023-10-16,r,2263
2023-10-23,r,2243
2023-10-30,r,2077
2023-11-06,r,2153
2023-11-13,r,2271
2023-11-20,r,2489
2023-11-27,r,1994
2023-12-04,r,2212
2023-12-11,r,2203
2023-12-18,r,1928
2023-12-25,r,1250
2022-12-26,spark,533
2023-01-02,spark,3205
2023-01-09,spark,3381
2023-01-16,spark,3083
2023-01-23,spark,3186
2023-01-30,spark,2921
2023-02-06,spark,2649
2023-02-13,spark,2458
2023-02-20,spark,2302
2023-02-27,spark,2443
2023-03-06,spark,2318
2023-03-13,spark,2167
2023-03-20,spark,2020
2023-03-27,spark,2197
2023-04-03,spark,1956
2023-04-10,spark,2196
2023-04-17,spark,2169
2023-04-24,spark,2481
2023-05-01,spark,2252
2023-05-08,spark,2283
2023-05-15,spark,1204
2023-05-22,spark,1534
2023-05-29,spark,2039
2023-06-05,spark,2319
2023-06-12,spark,2296
2023-06-19,spark,2319
2023-06-26,spark,2205
2023-07-03,spark,2016
2023-07-10,spark,2106
2023-07-17,spark,2116
2023-07-24,spark,2106
2023-07-31,spark,2090
2023-08-07,spark,2089
2023-08-14,spark,2385
2023-08-21,spark,2584
2023-08-28,spark,2839
2023-09-04,spark,2072
2023-09-11,spark,1661
2023-09-18,spark,1757
2023-09-25,spark,1864
2023-10-02,spark,1988
2023-10-09,spark,2038
2023-10-16,spark,2017
2023-10-23,spark,1957
2023-10-30,spark,1869
2023-11-06,spark,1821
2023-11-13,spark,2010
2023-11-20,spark,2249
2023-11-27,spark,1867
2023-12-04,spark,1873
2023-12-11,spark,2079
2023-12-18,spark,1712
2023-12-25,spark,1214
2022-12-26,sql,1763
2023-01-02,sql,10065
2023-01-09,sql,10561
2023-01-16,sql,10112
2023-01-23,sql,10248
2023-01-30,sql,9353
2023-02-06,sql,8476
2023-02-13,sql,7821
2023-02-20,sql,7715
2023-02-27,sql,7784
2023-03-06,sql,7495
2023-03-13,sql,6963
2023-03-20,sql,6792
2023-03-27,sql,7037
2023-04-03,sql,6537
2023-04-10,sql,7298
2023-04-17,sql,7525
2023-04-24,sql,8198
2023-05-01,sql,7593
2023-05-08,sql,7392
2023-05-15,sql,3850
2023-05-22,sql,4968
2023-05-29,sql,6727
2023-06-05,sql,7216
2023-06-12,sql,7372
2023-06-19,sql,7623
2023-06-26,sql,7590
2023-07-03,sql,6992
2023-07-10,sql,7306
2023-07-17,sql,7642
2023-07-24,sql,7393
2023-07-31,sql,7311
2023-08-07,sql,7183
2023-08-14,sql,8202
2023-08-21,sql,9148
2023-08-28,sql,9446
2023-09-04,sql,7001
2023-09-11,sql,5821
2023-09-18,sql,6172
2023-09-25,sql,6799
2023-10-02,sql,6976
2023-10-09,sql,7278
2023-10-16,sql,7040
2023-10-23,sql,6815
2023-10-30,sql,6633
2023-11-06,sql,6703
2023-11-13,sql,6942
2023-11-20,sql,7398
2023-11-27,sql,6454
2023-12-04,sql,6941
2023-12-11,sql,6610
2023-12-18,sql,6086
2023-12-25,sql,4064
2022-12-26,tableau,523
2023-01-02,tableau,3275
2023-01-09,tableau,3521
2023-01-16,tableau,3357
2023-01-23,tableau,3193
2023-01-30,tableau,3003
2023-02-06,tableau,2855
2023-02-13,tableau,2702
2023-02-20,tableau,2645
2023-02-27,tableau,2611
2023-03-06,tableau,2488
2023-03-13,tableau,2362
2023-03-20,tableau,2292
2023-03-27,tableau,2388
2023-04-03,tableau,2189
2023-04-10,tableau,2401
2023-04-17,tableau,2612
2023-04-24,tableau,2659
2023-05-01,tableau,2525
2023-05-08,tableau,2550
2023-05-15,tableau,1252
2023-05-22,tableau,1808
2023-05-29,tableau,2319
2023-06-05,tableau,2388
2023-06-12,tableau,2460
2023-06-19,tableau,2515
2023-06-26,tableau,2526
2023-07-03,tableau,2341
2023-07-10,tableau,2500
2023-07-17,tableau,2555
2023-07-24,tableau,2490
2023-07-31,tableau,2569
2023-08-07,tableau,2435
2023-08-14,tableau,2779
2023-08-21,tableau,3145
2023-08-28,tableau,3116
2023-09-04,tableau,2219
2023-09-11,tableau,1932
2023-09-18,tableau,1997
2023-09-25,tableau,2190
2023-10-02,tableau,2215
2023-10-09,tableau,2373
2023-10-16,tableau,2306
2023-10-23,tableau,2219
2023-10-30,tableau,2033
2023-11-06,tableau,2112
2023-11-13,tableau,2222
2023-11-20,tableau,2360
2023-11-27,tableau,2003
2023-12-04,tableau,2168
2023-12-11,tableau,2237
2023-12-18,tableau,1915
2023-12-25,tableau,1250
